SOC_NAME,NumberApplications,ShareOfTotalAsPercent,ROUND(AVG(PREVAILING_WAGE)),STDDEV(PREVAILING_WAGE)
"SOFTWARE DEVELOPERS, APPLICATIONS",121239,4.0,97407,1537499.1051267139
"COMPUTER SYSTEMS ANALYSTS",98755,3.3,93170,1668643.2136818075
"COMPUTER PROGRAMMERS",81822,2.7,68957,961333.1795011943
"COMPUTER OCCUPATIONS, ALL OTHER",53880,1.8,84831,1443679.3279658651
"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",21849,0.7,103986,1254601.3906846687
"COMPUTER SYSTEMS ANALYST",16835,0.6,71568,13747.041908133695
"MANAGEMENT ANALYSTS",15010,0.5,91132,1411732.9195127236
"ACCOUNTANTS AND AUDITORS",11204,0.4,66134,837052.9719499829
"NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS",11152,0.4,76937,957679.240228459
"MECHANICAL ENGINEERS",9616,0.3,101420,2034267.3567309
"FINANCIAL ANALYSTS",9605,0.3,94339,1394800.4377033121
"DATABASE ADMINISTRATORS",8741,0.3,101662,2162953.5287843063
"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS",8090,0.3,55885,20553.896868249903
"OPERATIONS RESEARCH ANALYSTS",8009,0.3,73155,22453.77032636482
"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",6807,0.2,92137,21416.306143788715
"COMPUTER AND INFORMATION SYSTEMS MANAGERS",6190,0.2,164304,3296608.6985938856
"ELECTRICAL ENGINEERS",5986,0.2,158673,3428827.3400602876
"PHYSICIANS AND SURGEONS, ALL OTHER",5938,0.2,171142,4044909.7428741204
"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",4807,0.2,49911,15408.086120033964
"WEB DEVELOPERS",4784,0.2,60640,64596.951409761816
STATISTICIANS,4161,0.1,105979,2155695.073041586
"SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS",3450,0.1,60294,12688.435911398952
"BIOCHEMISTS AND BIOPHYSICISTS",3380,0.1,74854,1481394.5815102323
"INDUSTRIAL ENGINEERS",3316,0.1,72213,16769.133014653045
"BIOLOGICAL SCIENTISTS, ALL OTHER",3305,0.1,51358,13983.980100778006
"PHYSICAL THERAPISTS",3278,0.1,66728,16427.539372742587
"CIVIL ENGINEERS",3188,0.1,111156,2447391.8206171733
"MARKETING MANAGERS",2884,0.1,230632,6125778.695218957
"ENGINEERS, ALL OTHER",2868,0.1,114138,2424348.915245548
"GRAPHIC DESIGNERS",2274,0.1,76213,1127744.9247196328
CHEMISTS,2220,0.1,56857,15999.205489012282
"SALES ENGINEERS",2210,0.1,93708,26229.399748387263
"COMPUTER PROGRAMMER",2152,0.1,55373,10040.379178337602
"INTERNISTS, GENERAL",2072,0.1,143877,51619.90341950407
"GENERAL AND OPERATIONS MANAGERS",1998,0.1,137733,1626676.945112539
"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY",1895,0.1,78629,36329.06421449037
"FINANCIAL MANAGERS",1808,0.1,125660,47520.66488108551
"COMPUTER SYSTEMS ENGINEERS/ARCHITECTS",1759,0.1,87183,19161.817151695424
LOGISTICIANS,1722,0.1,63359,17609.221215495018
"FINANCIAL SPECIALISTS, ALL OTHER",1648,0.1,175594,4484947.373040379
"COMMERCIAL AND INDUSTRIAL DESIGNERS",1592,0.1,56650,14885.024628243751
LAWYERS,1553,0.1,111036,42940.3101273286
"COMPUTER AND INFORMATION RESEARCH SCIENTISTS",1520,0.1,101111,155117.5319652358
"INFORMATION SECURITY ANALYSTS",1497,0.0,192486,4168452.1056732466
"HUMAN RESOURCES SPECIALISTS",1376,0.0,54840,82771.71401403092
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1376,0.0,45935,11636.827465555005
"COMPUTER HARDWARE ENGINEERS",1329,0.0,95966,25372.286080628564
"PUBLIC RELATIONS SPECIALISTS",1313,0.0,47760,15809.834068233302
"CHEMICAL ENGINEERS",1307,0.0,80123,23735.08597174089
"ARCHITECTURAL AND ENGINEERING MANAGERS",1283,0.0,321988,7023519.578410431
"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL",1282,0.0,133344,3201622.832203011
"MATERIALS ENGINEERS",1269,0.0,79708,21391.476538446343
"BIOLOGICAL TECHNICIANS",1238,0.0,36824,10636.105014725119
"ARCHITECTS, EXCEPT LANDSCAPE AND NAVAL",1204,0.0,152001,3311117.6761820917
"DENTISTS, GENERAL",1169,0.0,106446,33704.610631322634
"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",1147,0.0,55886,16898.60971900679
"ENGINEERING TEACHERS, POSTSECONDARY",1096,0.0,60281,15742.66458729841
